2026.000,500.000,500.000
2026.003,499.452,500.347
2026.005,498.946,500.649
2026.008,498.407,500.986
2026.011,497.859,501.331
2026.014,497.311,501.677
2026.016,496.763,502.022
2026.019,496.216,502.365
2026.022,495.673,502.705
2026.025,495.133,503.041
2026.027,494.597,503.373
2026.030,494.065,503.700
2026.033,493.537,504.022
2026.036,493.015,504.339
2026.038,492.497,504.650
2026.041,491.986,504.956
2026.044,491.480,505.254
2026.047,490.980,505.546
2026.049,490.488,505.831
2026.052,490.002,506.108
2026.055,489.524,506.376
2026.058,489.054,506.637
2026.060,488.593,506.888
2026.063,488.140,507.130
2026.066,487.695,507.363
2026.068,487.260,507.587
2026.071,486.834,507.800
2026.074,486.418,508.004
2026.077,486.011,508.198
2026.079,485.614,508.381
2026.082,485.227,508.553
2026.085,484.851,508.713
2026.088,484.487,508.862
2026.090,484.133,508.999
2026.093,483.791,509.125
2026.096,483.461,509.238
2026.099,483.142,509.339
2026.101,482.835,509.428
2026.104,482.539,509.505
2026.107,482.256,509.569
2026.110,481.986,509.619
2026.112,481.729,509.657
2026.115,481.485,509.680
2026.118,481.254,509.690
2026.121,481.036,509.686
2026.123,480.832,509.668
2026.126,480.641,509.637
2026.129,480.463,509.593
2026.132,480.297,509.535
2026.134,480.145,509.464
2026.137,480.006,509.379
2026.140,479.880,509.280
2026.142,479.769,509.167
2026.145,479.672,509.040
2026.148,479.589,508.898
2026.151,479.519,508.742
2026.153,479.463,508.573
2026.156,479.419,508.391
2026.159,479.388,508.196
2026.162,479.370,507.988
2026.164,479.366,507.766
2026.167,479.375,507.530
2026.170,479.397,507.281
2026.173,479.433,507.018
2026.175,479.481,506.743
2026.178,479.542,506.455
2026.181,479.614,506.155
2026.184,479.698,505.844
2026.186,479.794,505.521
2026.189,479.901,505.185
2026.192,480.020,504.839
2026.195,480.151,504.480
2026.197,480.293,504.110
2026.200,480.447,503.728
2026.203,480.611,503.336
2026.205,480.786,502.933
2026.208,480.970,502.520
2026.211,481.164,502.098
2026.214,481.367,501.667
2026.216,481.578,501.227
2026.219,481.799,500.778
2026.222,482.030,500.319
2026.225,482.269,499.852
2026.227,482.516,499.376
2026.230,482.771,498.892
2026.233,483.032,498.402
2026.236,483.299,497.906
2026.238,483.573,497.404
2026.241,483.852,496.895
2026.244,484.136,496.381
2026.247,484.427,495.862
2026.249,484.722,495.337
2026.252,485.022,494.807
2026.255,485.326,494.274
2026.258,485.632,493.737
2026.260,485.942,493.198
2026.263,486.253,492.657
2026.266,486.565,492.114
2026.268,486.877,491.571
2026.271,487.187,491.029
2026.274,487.493,490.492
2026.277,487.786,489.966
2026.279,488.046,489.474
2026.282,488.181,489.105
2026.285,487.972,489.076
2026.288,487.511,489.299
2026.290,486.989,489.587
2026.293,486.450,489.891
2026.296,485.905,490.201
2026.299,485.359,490.513
2026.301,484.813,490.824
2026.304,484.269,491.132
2026.307,483.728,491.438
2026.310,483.190,491.739
2026.312,482.656,492.036
2026.315,482.127,492.328
2026.318,481.602,492.616
